"Net","FCO2"
311.29974,-10.550294
-17.396954,0.5641853
-25.498,2.03278486
200.466,-8.8236716
234.28934,-4.321543
-69.49033,0.660803
77.97567,-8.91602
-33.972,0.8210094
-23.949333,-1.160727
-19.298,0.534003
-8.925667,7.311427
101.20067,-3.513936
268.17834,0.0133889999999999
254.61267,-9.95371816
33.051666,-0.067639
-8.860333,0.74750425
86.56041,-2.546735
-5.25548,-1.3863705
109.928665,-6.579958
-58.330666,4.7293925
-20.980333,3.0946123
-4.236,0.72249
260.518,-2.0969109
-8.19782,0.97792
105.361336,-4.9945047
-19.157667,1.45120905
260.23035,-11.676105
22.675333,-1.111027
-63.215,0.6291422
209.18967,-1.98315631
-1.6531034,2.080609
-11.043333,0.67487983
35.42423,-3.052175
-37.662334,1.63781006
-25.777666,0.1638999
375.078,-10.0246451
11.883667,1.298006
-67.68918,-0.0062113
-17.463,0.250887
-46.151,4.06073655
-14.40323,0.5426566
-35.006,1.224436
80.041664,0.542107774
-41.179333,0.8712581
-67.389,0.97855338
-57.249332,4.0817057
-7.9146667,-3.988906
407.49268,-13.009208
422.23196,-4.987057
28.908667,-1.500738
